Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
2,,,Patch,,,,,"This recodes the version for an optional Patch, HotFix or Update used for this Sofware to run this Instrument. A Patch (aka HotFix, or Update) is a set of changes to a computer program or its supporting data designed to update, fix, or improve it. This includes fixing security vulnerabilities, and other bugs, with such patches usually being called bugfixes or bug fixes, and improving the functionality, usability or performance.",string,,,,,,,
3,,,ReleaseDate,,,,,The date in which this Software was released.,Date,,,,,,,
3,,,Launguage,,,,,This records the computer Language in which this Software was developed,string,,,,,,,
1,Y,,SoftwareModuleRef,,,,,This empty element refers to any existing Software Module that was used in association with this Instrument.,Extension of Reference,,,0 … ∞,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,Y,,"substitution group 
(choose one or more)",AcquisitionSoftware,,,,"A commercial, or open-source Software, script, macro, plugin or module utilized for driving this Instrument during Image Acquisition.",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,SoftwareModule,,,,"A commercial, or open-source software module utilized for any Image Acquisition, or Quality Control task.",,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,MicroscopeTable,,,,,,This element describes the Table used to support this Instrument during Image Acquisition.,,,ManufacturerSpecs,0 … ∞,,,,
2,,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
2,,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
2,,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
2,,,ID,,,,,A Unique Identifier for this component.,LSID,,,R,,,,
2,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
2,,,MultipleMicroscopes,,,,,This field records whether (True) or not (False) multiple Microscopes share this Microscope Table. This is relevant because multiple Microscopes using the same table might affect stability and vibrations during Image Acquisition.,boolean,,,,,,,
2,,,Type,,,,,This field describes the type of this Microscope Table.,enum,"Air_Active, Air_Passive, Non-isolating Frame, Simple Bench, Stone, Other",MicroscopeTableTYpe,R,,,,
3,,,TableWidth,,,,,The Width of this Microscope Table.,float with unit:TableDepthUnit,,,,,,,
