Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
1,Y,,"substitution group 
(choose one or more)",ExcitationFilter,,,,This element refers to an Excitation Filter whose purpose is to selectively attenuate the Light that is utilized to Excite the Sample depending on Wavelength. This element can be associated with an optional Filter Holder.,,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,EmissionFilter,,,,This element refers to an Emission Filter whose purpose is to selectively attenuate the Fluorescent Light that is emitted by the Sample depending on Wavelength. This element can be associated with an optional Filter Holder.,,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,NeutralDensity,,,,This element refers to an optical Filter whose purpose is to attenuate the intensity of the transmitted Light independent of the Wavelength.,,,,0 ... ∞,,,,
2,,,,,NDType,,,This field refers to the general category of this Neutral Density Filter. Neutral Density Filters come in two general types. Those made of darkened glass that absorb light and those coated with a metal film that reflect light.,enum,"Absorbing, Reflecting, Other",NDType,R,,,,
3,,,,,OpticalDensity,,,"This field measures the absolute value of the logarithm of base 10 of the power transmission factor. For example, an optical density of 3 means an attenuation of optical powers by the factor 10^3 = 1000.",float with unit:none,,,R,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,GenericFilter,,,,This element refers to a Generic Filter positioned along the Light Path in addition to the canonical fluorescence Excitation and the Emission Filters.,,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,MirroringDevice-APE,,,,,,"This element describes a Mirror positioned in the Ligth Path for one or more Channels available for this Instrument. An Instrument may have several Mirrors of different types, such as Dichroic, Beamsplitter or Reflector. This element can be associated with an optional Optics Holder, such as a Filter Cube, Filter Turret, Filtr Wheel, or Filter Slider.",Substitution : choose one child from the list below,"Dichroic, Beamsplitter, Reflector",Substitution : choose one child from the list below,1 ... ∞,,was Dichroic element,,Element
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,MirrorID,,,R,,same,R,LDIS
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
2,,,OpticsHolderPosition,,,,,"This field records the position of this Mirroring Device in a Optics Holder of any kind, such as a Slider, Turret or Wheel.",string,,,,,,,
3,,,MirrorType,,,,,This field records the general category of this Mirror.,enum,"Convex, Concave, Planar, Other",MirrorType,R,,,,
3,,,Geometry,,,,,This field records the geometrical shape of the surface(s) of this Mirror.,enum,"Aspherical, Cylindrical, Ellipsoidal, Hyeprboloidal, Paraboloidal, Spherical, Other",MirrorGeometry,,,,,
3,,,Diameter,,,,,This field describes the Diameter of this optical element.,float with unit:DiameterUnit,,,,,,,
3,,,RadiusOfCurvature,,,,,The radius of curvature of this Mirror. A spherical lens or Mirror surface has a center of curvature located either along or decentered from the system local optical axis. The vertex of the lens surface is located on the local optical axis. The distance from the vertex to the center of curvature is the radius of curvature of the surface.,float with unit:RadiusOfCurvatureUnit,,,,,,,
3,,,AngleOfIncidence,,,,,This field records the optimal angle of incidence (AOI) for this Mirror. The AOI is the angle between the optical axis of the incident light and the axis normal to the surface of the Mirror. In specular reflection AOI is by definition equal to the Angle Of Reflection (AOR).,float with unit:AngleOfIncidenceUnit,,,,,,,
3,,,SubstrateType,,,,,This field records the type of Substrate that is used for this Mirror. It is typically a ground and polished piece of optical glass.,string,,,,,,,
3,,,SubstrateMaterial,,,,,"This field records the chemical composition or the designation of the substrate of this Mirroring Device. The substrate is typically composed of a glass material with low autofluorescence, such as UV-grade fused silica or Borofloat.",enum,"alpha-Barium Borate, Barium Crown (BAK/N-BAK), Barium Flint (BAF/N-BAF), Barium Heavy Flint (BASF/N-BASF), Barium Light Flint (BALF/N-BALF), Borofloat, Boron Crown (BK/N-BK), Borosilicate, Calcite, Calcium Fluoride (CaF2), Crown (K/N-K), Crown Flint (KF/N-NK), Crystal Quartz, Dense Crown (SK/N-SK), Dense Flint (SF/N-SF), Extra Dense Crown (SSK/N-SSK), Extra Ligh Flint (LLF), Flint (F/N-F), Fluorine Crown (FK/N-FK), Germanium, Lanthanum Crown (LAK/N-LAK), Lanthanum Dense Flint (LASF/N-LASF), Lanthanum Flint (LAFN/N-LAF), Light Flint (LF), Magnesium Fluoride (MgF2), Phosphate Crown (PK/N-PK), Phosphate Dense (PSK/N-PSK), Polytetrafluoroethylene (PFTE), Pyrex, Rutile (TiO2), Short Flint Special (KZFS/N-KZFS), Silicon (Si), UV-Grade Fused Silica (UVFS), Yttrium Orthovanadate (YVO4), Zerodur (Lithium Aluminum Silicon Oxide), Zinc Crown (ZK/N-ZK), Zinc Selenide (ZnSe), Other",OpticalMaterialName,,,,,
3,,,GlassCode,,,,,"If available, this field records the international Glass Code of the material that constitutes this Mirror. The Glass Code designation is based on U.S. military standard MIL-G-174, and it consists of a six-digit number specifying the glass according to its Refractive Index nd at the Fraunhofer d- (or D3-) line, and its Abbe Number Vd also taken at that line. The resulting Glass Code is the value of nd-1 rounded to three digits, followed by Vd rounded to three digits, with all decimal points ignored. For example, BK7 has nd = 1.5168 and Vd = 64.17, giving a six-digit Glass Code of 517642.",string,,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,Y,,"substitution group 
(choose one or more)",Dichroic-APE,,,,"A Dichroic Mirror (also often referred to as Dichroic Beamsplitter, Dichromatic Mirror or Dichroic) is a Mirror that spectrally separate light by transmitting and reflecting light as a function of wavelength. In the context of fluorescence microscopy, they are typically used to reflect the excitation light, but transmit the emitted fluorescence. Dichroic Mirrors can be categorized in different manners. However, the most important criteria for choosing a Dichoric Mirror are the Transmittance and the Reflectance Wavelength ranges.",,,,,,,,
1,Y,,,,Type,,,This field captures the Type of Dichroic used in this case.,enum,"Bandpass, BandStop, Multipass, Notch, Longpass, ShortPass, Other",FilterType,R,,,,
1,Y,,,,CoatingMethod,,,"This field records the type of Coating used in this case. An optical coating is one or more thin layers of material deposited on an optical component such as a Lens, Filter or Mirror, which alters the way in which the optic reflects and transmits light.",enum,"HardCoated, SoftCoated, Other",CoatingMethod,R,,,,
1,Y,,,,LightPathLocation,,,"This field records the location of this component in the Microscope Light Path. The most common positions are: Infinity Space, Camera Port or Illumination Port.",enum,"Infinity space, Camera Port, Illumination port, Other",LightPathLocationOptions,R,,,,
2,,,,,Technology,,,"This field records the filtering Technology utilized for this optical element. The main types of technologies used in fluorescence analysis are Absorption (aka colored) glass, Polymer or Thin-film coating.",enum,"Absorption Colored Glass, Metallic-coating, Polymer-Based, Thin-film interference-coating,  Other
",FilterTechnologyType,,,,,
2,,,,,AttenuationMethod,,,This field records the mean by which this optical element achieves out-of-band transmission attenuation.,enum,"Absorption, Reflection, Refraction, Other",AttenuationMethodType,R,,,,
3,,,,,AttenuationCoefficient,,,"This field records the Attenuation Coefficient (AC) of this optical element. The AC (aka blocking coefficient) is a material property that characterizes the degree to which light is being blocked (i.e., scattered or absorbed) by it. AC is used as a measure of the out-of-band blocking of an optical Lens, Filter, Dichroic mirror over an extended range of the spectrum. AC is often reported in units of optical density (OD), whereas OD= -log10(T), and T=Transmittance (0≤T≤1).",float with unit:none,,,,,,,
3,,,,,Thickness,,,This field describes the Thickness of this optical element.,float with unit:ThicknessUnit,,,,,,,
3,,,,,Polarization,,,"This field records the polarization effect of this optical element. Any thin-film interference coating that is used at non-normal angles-of-incidence will cause some amount of polarization, the precise effect varying greatly with wavelength and with the particular coating design.",enum,"Circular, Elliptical, Planar, Other",FilterPolarizationType,,,,,
1,Y,,,,TransmittanceRange,,,This element records the Range (also known as Band) of Wavelengths that are transmitted by this optical component. It also records the maximum amount of light transmitted. Multiple of these elements can be used.,Element,,,1 … ∞,,same,0 ... 1,Element
1,Y,,,,,Wavelength,,"This field records the key Wavelength] that characterizes this Transmittance Range (also known as Transmission band). In the case of Bandpass, Bandstop, Multipass or Notch Filters, Wavelength often refers to the Central Wavelength of each of the transmission band(s); alternatively, in case of a Longpass or a Shortpass Filters, Wavelength refers to the CutOn Wavelength (i.e., below which there is less than 50% transmittance) or the CutOff Wavelengths (i.e., above which there is less than 50% transmittance) respectively. In the case of Dichroics, Wavelength most commonly refers to the Edge Wavelength which might be either the CutOn or the CutOff Wavelength depending on individual cases.",positiveFloat with unit:WavelengthUnit,,,R,,was CutIn,,
2,,,,,,Transmittance,,"This field records the maximum amount of light this optical component is capable of transmitting in this Wavelength Range, at the peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.",percentFraction with unit:none,,,,,same,,
,,,,,,removed OME field(s),,,,,,,,CutInTolerance,,nonNegativeFloat
,,,,,,,,,,,,,,CutOut,,positiveFloat
,,,,,,,,,,,,,,CutOutTolerance,,nonNegativeFloat
1,Y,,,,,FWHMBandwidth,,"This field records the width of this Transmittance Range (also known as Transmission band). Specifically, the Full Width at Half Maximum (FWHM) represents the bandwidth of the Wavelength spectrum curve measured between those points whose transmission amplitude is 50% of the maximum. In case bandwidth is not available, such as in the case of a LongPass, Notch or ShortPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,,R,,,,
e,e,,,,,,,,,,,,,,,
3,,,,,ReflectanceRange,,,This element records  the Range (also known as Band) of Wavelengths that are reflected by this optical componewnt. It also records the maximum amount of light reflected. Multiple of these elements can be used.,Element,,,0 … ∞,,,,
3,,,,,,Wavelength,,"This field records the key Wavelength that characterizes this Reflectance Range (also known as Reflection band). In most cases, Wavelength refers to the CutOn Wavelength (i.e., below which there is less than 50% transmittance) but it might also refer to the CutOff wavelength (i.e., above which there is less than 50% transmittance) or the Center Wavelength of the Reflectance Band.",positiveFloat with unit:WavelengthUnit,,,R,,,,
3,,,,,,FWHMBandwidth,,"This field records the width of this Reflectance Range (also known as Reflection band). Specifically, the Full Width at Half Maximum (FWHM) represents the bandwidth of the Wavelength spectrum curve measured between those points whose transmission amplitude is 50% of the maximum. In case bandwidth is not available, such as in the case of a LongPass, Notch or ShortPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,,R,,,,
3,,,,,,Reflectance,,"This field records the maximum amount of light this optical component is capable of reflecting in this Wavelength Range, at the peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.",percentFraction with unit:none,,,,,,,
e,e,,,,,,,,,,,,,,,
3,,,,,TransmittanceProfileFile,,,This element represents a file in .csv or other suitable formats containing the Transmittance profile of this optical component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
3,,,,,ReflectanceProfileFile,,,This element represents a file in .csv or other suitable formats containing the Reflectance profile of this optical component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,"substitution group 
(choose one or more)",StandardDichroic,,"A Dichroic Mirror (also often referred to as Dichroic Beamsplitter or simply as Dichroic) is a Mirror that spectrally separate light by transmitting and reflecting light as a function of wavelength. In the context of fluorescence microscopy, they are typically used to reflect the excitation light, but transmit the emitted fluorescence. Dichroic Mirrors can be categorized in different manners. However, the most important criteria for choosing a Dichoric Mirror are the Transmittance and the Reflectance Wavelength ranges. This element describes a Dichroic positioned in the standard Ligth Path for one or more Channels available for this Instrument.",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,AdditionalDichroic,,"A Dichroic Mirror (also often referred to as Dichroic Beamsplitter or simply as Dichroic) is a Mirror that spectrally separate light by transmitting and reflecting light as a function of wavelength. In the context of fluorescence microscopy, they are typically used to reflect the excitation light, but transmit the emitted fluorescence. Dichroic Mirrors can be categorized in different manners. However, the most important criteria for choosing a Dichoric Mirror are the Transmittance and the Reflectance Wavelength ranges. This element describes a generic Additional Dichroic positioned in the Ligth Path for one or more Channel available for this Instrument.",,,,,,,,
e,e,,,,,,,,,,,,,,,
2,,,,Beamsplitter,,,,"This element describes a Mirror that reflects part of the light, regardless of Wavelength.",,,,,,,,
2,,,,,Transmittance,,,The field records the maximum amount of light this Beamsplitteris capable of transmitting at the peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.,float with unit:none,,,R,,,,
3,,,,,TransmissionAngle,,,The angle at which light is transmitted by this Beamsplitter.,float with unit:TransmittanceAngleUnit,,,,,,,
2,,,,,Reflectance,,,The field records the maximum amount of light this Beamsplitteris capable of reflecting at the peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.,float with unit:none,,,R,,,,
3,,,,,TransmittanceProfileFile,,,This element represents a file in .csv or other suitable formats containing the Transmittance profile of this optical component.,Element,,FileAnnotation,0... ∞,,,,
3,,,,,ReflectanceProfileFile,,,This element represents a file in .csv or other suitable formats containing the Reflectance profile of this optical component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
2,,,,ReflectingMirror,,,,This element describes a total reflection Mirror.,,,,,,,,
2,,,,,Reflectance,,,The field records the maximum amount of light this Mirror is capable of reflecting at the peak Wavelength. It is represented as a fractional value from 0.0 to 1.0.,float with unit:none,,,R,,,,
3,,,,,ReflectanceProfileFile,,,This element represents a file in .csv or other suitable formats containing the Reflectance profile of this optical component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,StageInsert,,,,,,This element describes an optional Stage Insert mounted on the Stage.,,,ManufacturerSpecs,0 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,StageInserID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
2,,,SampleHolderType,,,,,This field describes the type of Specimen Holder this Stage Insert is designed to hold.,enum,"Chambered Coverslip, Culture Plate, Microscope Slide, Multiwell Plate, Petri Dish, Other",,R,,,,
2,,,TemperatureControlled,,,,,"This field records whether this Stage Insert is Temperature Controlled (True), or not (False).",boolean,,,R,,,,
2,,,NumberOfSlots,,,,,This field describes the number of Specimen Holder slots on this Stage Insert.,integer with unit:none,,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
e,e,,,,,,,,,,,,,,,
1,Y,SamplePositioning-APE,,,,,,"This element describes a Sample-Optics Positioning device available for this Instrument. An Instrument may have more than one of these devices of different types. For example, a typical setup might include a Mechanical Stage, a Stage Insert, a Turret Objective Focusing, and a Piezoelectric Objective Focusing device.",Substitution:,"StageInsert, MechanicalStage, PiezoElectricStage, TurretObjectiveFocusing, PiezoElectricObjectiveFocusing",ManufacturerSpecs,1 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,SamplePositioningID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,Encoded,,,,,"This field describes whether this Sample Positioning Device is equipped with a system (i.e., encoder) to monitor movement and provide automatic positional feedback for high-precision operations, and it specifies the type of encoders it has.",enum,"None, Linear, Rotary, Other",,R,,,,
1,Y,,Motorized,,,,,"This field describes whether (True) or not (False) this Sample Positioning Device is fitted with a Motorized component (i.e., ball-screw drives or rack mechanisms, sometimes equipped with precision calibration) to primarily assist in the translational movement of the sample in the X and Y or Z directions. A Motorized Stage is also often referred to as a Scanning Stage.",boolean,,,R,,,,
1,Y,,ZMaxVelocity,,,,,This field describes the maximum Z-axis Velocity at which this Sample Positioning Device is capable of moving.,float with unit:ZMaxVelocityUnit,,,,,,,
1,Y,,ZRepeatability,,,,,"This field captures the expected Accuracy with which this Sample Positioning Device is capable of returning to a previously visited Z-axis Position, as specified by the Manufacturer. This metric is important for example for Tiling.",float with unit:ZRepeatabilityUnit,,,R,,,,
1,Y,,ZTravelRange,,,,,This field describes the total range in the Z-axis that this Sample Positioning Device can travel.,float with unit:ZTravelRangeUnit,,,,,,,
2,,,MovementAxes,,,,,This field describes the axes or combination of axes along which this Sample Positioning Device is capable of moving.,enum,"X, Y, Z, XY, XYZ, Θ, Other",,R,,,,
2,,,BuiltIn,,,,,This field indicates whether this Sample Positioning Device is built into the Microscope Stand (True) or it is removable and interchangeable (False).,boolean,,,R,,,,
2,,,ZReproducibility,,,,,This field captures the expected Precision with which this Sample Positioning Device is capable of maintaining a given Z-axis Position over time during as specified by the Manufacturer. This metric is generally referred to as Reproducibility and it might also be referred to as Focal Drift. This metric is particularly relevant for Stereology systems and for the calibration of Sample Positioning devices.,float with unit:ZReprducibilityUnit,,,,,,,
2,,,ZSettlingTime,,,,,"This field describes the expected time it takes for this Sample Positioning Device to stabilize at the target Z-axis position, as specified by the Manufacturer.",float with unit:ZSettlingTimeUnit,,,,,,,
2,,,ZResolution,,,,,This field describes the Z-axis motion Resolution of this Sample Positioning Device as specified by the Manufacturer.,float with unit:ZResolutionUnit,,,,,,,
2,,,ZPositionLinearityError,,,,,This field describes the Z-axis positioning error (typically expressed in % error) associated with this Sample Positioning Device as specified by the Manufacturer.,float with unit:none,,,,,,,
3,,,Type,,,,,This field describes the general category of this Sample Positioning Device.,enum,"Centering, DC Servo Motor, Gliding, Levelling, Linear, Rigid Stand, Stepper, Translational, Other ",,,,,,
3,,,RotationAngle,,,,,The angle by which this Sample Positioning Device is capable of rotating.,float with unit:RotationAngleUnit [default deg],,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
1,Y,,"substitution group 
(choose one or more)",FocusingDevice-APE,,,,"A Focusing mechanism is used to obtain maximum sharpness in an Image by changing the distance between a Sample and the optical system forming the Image. In most cases, a Z-axis Focusing mechanism moves the Objective along the optical axis.",,,,,,,,
1,Y,,,,"substitution group 
(choose one or more)",TurretObjectiveFocusing,,"A Focusing mechanism is used to obtain maximum sharpness in an Image by changing the distance between a Sample and the optical system forming the Image. In most cases, a Z-axis Focusing mechanism moves the Objective along the optical axis. This element describes a Focusing Device associated with a rotating Objective Turret associated with this Instrument. This type of device is often operated using a rack and pinion mechanism.",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,IndividualObjectiveFocusing,,"A Focusing mechanism is used to obtain maximum sharpness in an Image by changing the distance between a Sample and the optical system forming the Image. In most cases, a Z-axis Focusing mechanism moves the Objective along the optical axis. This element describes an optional objective nano-Focusing Device associated with this Instrument. These devices might be driven using piezoelectric mechanisms or linear motor actuators associated with crossed roller guideways. They typically achieve higher precision, accuracy, and speed than traditional Focusing Devices.",,,,,,,,
2,,,,,,,PiezoElectric,This field describes whether this device is Piezoelectric driven (True) or not (False).,boolean,,,R,,,,
e,e,,,,,,,,,,,,,,,
2,,,,,,Z-Drive,,"This element describes a Focusing Device designed to electronically control a moving a mechanical part of the Microscope such as the Stage (see Stage-APE), or the Microscope Stand itself (e.g. most dissecting Microscopes). An example of such devices is the MFC-2000 Z-Axis Drive and Controller (http://www.asiimaging.com/controllers/mfc-2000-z-axis-drive-and-controller/#tab-id-4).",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,Stage-APE,,,,"This element describes a platform positioned at right angle to the optical axis of this Microscope, which is designed to either directly hold a Specimen Holder containing a Sample to be observed, or a Stage Insert, which itself holds the Sample Holder. In many cases, this device is capable of mechanical movements (as in a Mechanical Stage) to allow easy positioning and rotation of the Sample in the X-, Y-, and Z-axes.",,,,,,,,
1,Y,,,,XYMaxVelocity,,,This field describes the maximum XY-axis Velocity at which this Stage is capable of moving.,float with unit:XYMaximumVelocity,,,,,,,
1,Y,,,,XYRepeatability,,,"This field captures the expected Accuracy with which this Stage is capable of returning to a previously visited XY-plane Position, as specified by the Manufacturer. This metric is important for example for Tiling.",float with unit:XYRepeatabilityUnit,,,R,,,,
2,,,,,XTravelRange,,,This field describes the Total Range in the X-axis that this Stage can Travel.,float with unit:XTravelRangeUnit,,,R,,,,
2,,,,,YTravelRange,,,This field describes the Total Range in the Y-axis that this Stage can Travel.,float with unit:YTravelRangeUnit,,,R,,,,
2,,,,,XYReproducibility,,,This field captures the expected Precision with which this Stage is capable of maintaining a given XY-plane Position over time during as specified by the Manufacturer. This metric is generally referred to as Reproducibility and it might also be referred to as Lateral Drift. This metric is particularly relevant for Stereology systems and for the calibration of Sample Positioning devices.,float with unit:XYReprducibilityUnit,,,,,,,
2,,,,,XYSettlingTime,,,"This field describes the expected time it takes for this Stage to stabilize at the target XY-plane position, as specified by the Manufacturer.",float with unit:XYSettlingTimeUnit,,,,,,,
2,,,,,XYResolution,,,This field describes the XY-plane motion Resolution of this Stage as specified by the Manufacturer.,float with unit:XYResolutionUnit,,,,,,,
2,,,,,XYPositionLinearityError,,,This field describes the XY-axis positioning error (typically expressed in % error) associated with this Stage as specified by the Manufacturer.,float with unit:none,,,,,,,
1,Y,,,,"substitution group 
(choose one or more)",MechanicalStage,,"This element describes a Stage fitted with ball-screw drives or rack mechanisms (sometimes equipped with precision calibration) to primarily assist in the translational movement of the Sample in the X and Y directions. A Mechanical Stage may be built into the Microscope Stand or it may consist of a removable insert. It may be manually operated, or it might be driven by linear electrodynamic motors, such as for example, in computer-controlled digital Microscopes. In some rare cases, a Mechanical Stage might also be used for Focusing (Z-axis movement), i.e., in simple surveying Microscopes.",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,,,PiezoElectricStage,,"This describes an optional piezoelectric-driven sample nano-positioning device associated with this Instrument. These devices typically achieve higher precision, accuracy and speed with respect to traditional Mechanical Stages.",,,,,,,,
e,e,,,,,,,,,,,,,,,
1,Y,FocusStabilizationDevice,,,,,,"This element describes an optional focus stabilization device (also known as, Auto Focus) that may be used for bringing an object automatically into focus for this instrument. Such devices can be controlled either via an imaging software and/or by a hardware device that detects and adjusts the objective or sample positions.",,,Manufacturer Specs,0 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,AutoFocusID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,Y,,Mechanism,,,,,This field refers to the mechanism employed by this Focus Stabilization Device. Software (also referred to as Image) based methods rely on the Acquisition of a Z-series of images followed by image analysis to determine the best focal position based primarily on contrast comparisons. Hardware based methods rely on an external light beam (typically infrared) that is reflected off the coverslip and whose reflection is measured to determine and correct the focal offset of the sample.,enum,"Hardware based, Software (aka Image) based, Other",FocusStabilizationType,R,,,,
1,Y,,Algorithm,,,,,"In case this Focus Stabilization Device is Software Based, this field refers to the name of the Algorithm used to maintain Focus.",string,,,,,,,
1,Y,,TwoStep,,,,,This field records whether this Focus Stabilization Device utilizes a 2-step progressive procedure (True) or not (False).,boolean,,,,,,,
1,Y,,Wavelength,,,,,This field refers to the Wavelength of the beam that is relevant for this Focus Stabilization Device. For example this might represent the Wavelength of the beam that is reflected against the Coverglass to obtain a measurement of the focal offset of the sample at a given time during Acquisition.,float with unit:WavelengthOfReflectedBeam,,,,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 … ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,OpticalAssembly-APE,,,,,,"This is a device that might include one or more Lenses, other Optics and Optics Holders. Optical Devices might be custom built or they might also be available as pre-assembled units. Such devices might be embedded within the Microscope Stand or exist as independent units. Examples include the Condenser and the Microscope Tube.",Substitution:,"BeamCollimator, BeamExpander, Condenser, MicroscopeTube",Manufacturer Specs,0 … ∞,,,,
1,Y,,Manufacturer,,,,,"The company, research group or individual who manufactured this hardware component.",,,,R,,same,,string
1,Y,,Model,,,,,The Model name or any other designation the Manufacturer uses for this component.,,,,R,,same,,string
1,Y,,CatalogNumber,,,,,"The Catalog, Part or Serial Number used by the Manufacturer to uniquely identify this component.",,,,R,,was Serial Number,,string
3,,,LotNumber,,,,,The Lot Number used by the Manufacturer to refer to a specific production batch or lot for this component.,,,,,,same,,string
3,,,ΜanufactuerSpecs,,,,,Additional ManufactuerSpecs attributes and Sub-elements are listed at the beginning of this document.,,,,,,,,
1,,,ID,,,,,A Unique Identifier for this component.,LSID,,,R,,,,
1,,,Name,,,,,A User-defined Name for this component.,Denomination,,,,,,,
1,,,FilterRef,,,,,"This refers to an available Filter, which is part of this Optical Assembly.",Extension of Reference,,,0 … ∞,,,,
1,Y,,LensRef,,,,,"This refers to an available Lens, which is part of this Optical Assembly.",Extension of Reference,,,0 … ∞,,,,
1,,,MirrorringDeviceRef,,,,,"This refers to an available Mirroring Device, which is part of this Optical Assembly.",Extension of Reference,,,0 … ∞,,,,
1,,,OpticalApertureRef,,,,,"This refers to an available Optical Aperture, which is part of this Optical Assembly.",Extension of Reference,,,0 … ∞,,,,
1,Y,,PolarizationOpticsRef,,,,,"This refers to an available Polarization Optics, which is part of this Optical Assembly.",Extension of Reference,,,0 … ∞,,,,
1,Y,,PrismRef,,,,,"This refers to an available Prism, which is part of this Optical Assembly.",Extension of Reference,,,0 … ∞,,,,
1,,,AnnotationRef,,,,,This is an empty element that refers to an Annotation (typically a Comment Annotation that consists of a simple multi-line comment) describing this component. ,Extension of Reference,,,0 …∞,,same,,Extension of Reference
2,,,"substitution group 
(choose one or more)",BeamCollimator,,,,"Beam Collimators are Lens Systems that transform a strongly diverging light beam into a collimated beam, i.e., a beam where light propagates essentially only in one direction, and the beam divergence is weak. Beam Collimators typically contain some kind of Focusing Lens, or sometimes a curved Mirror, and usually some opto-mechanics for stable mounting and possibly adjustment. Beam Expanders can be custom built or they are also available as pre-assembled optical devices.",,,,,,,,
e,e,,,,,,,,,,,,,,,
